identificatie;identificatieWegdeelSRM1;identificatieOverheid;naamOverheid;naam;wegtype;boomFactor;afstand;indicatieToetspunt;grondReceptor;opmerking;datumActualisatie;geometrie
R22619;W14374;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146952.316134035 452419.216613546)
R22620;W14374;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146972.446375191 452402.136408929)
R22621;W14375;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146838.163503594 452498.596204312)
R22622;W14375;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146816.781344584 452472.937613501)
R22623;W14376;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146892.083964474 452440.27976961)
R22624;W14376;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146871.916035526 452419.72023039)
R22625;W14377;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146684.563971898 452630.809201947)
R22626;;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146757.997026826 452567.568030658)
R22628;W14380;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146830.102627221 452519.096925709)
R22629;W14381;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146655.657275653 452604.564532175)
R22630;;1581;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146726.817662283 452538.817662283)
R22631;;1581;naamOverheid;naam;NO_VALUE;NO_VALUE;afstand;FALSE;TOEPASBAARHEIDBEGINSEL;opmerking;datumActualisatie;POINT(146766.194775207 452498.568489258)
R22632;W14384;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146792.653495821 452482.784552677)
R22633;W14385;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146867.01102131 453339.211241736)
R22634;W14385;1581;naamOverheid;naam;BASISTYPE;ENKELE_BOMEN;afstand;TRUE;NSL_TOETSPUNT;opmerking;datumActualisatie;POINT(146846.98897869 453318.788758264)
