identificatie;wegdeel;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
01178692_80137;01178692_48948;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(207980.776258463 522838.101367384)
01178692_80138;01178692_48948;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208003.223741537 522817.898632616)
01178692_80139;01178692_48949;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208058.177187834 522887.470680431)
01178692_80140;01178692_48949;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208071.822812166 522860.529319569)
01178692_80141;01178692_48950;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208135.362751796 522926.563072417)
01178692_80142;01178692_48950;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208148.637248204 522899.436927583)
01178692_80143;01178692_48951;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(207986.423755737 522740.427501275)
01178692_80144;01178692_48951;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(207955.576244263 522733.572498725)
01178692_80145;01178692_48952;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208034.865283888 522646.575876763)
01178692_80146;01178692_48952;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208007.134716112 522631.424123237)
01178692_80590;01178692_49257;Meppel;Randweg, Meppel                                                                 ;3;1;Alle;0;;;08-02-2022 08:08;POINT(208218.928675997 522382.621511064)
01178692_80591;01178692_49257;Meppel;Randweg, Meppel                                                                 ;3;1;Alle;0;;;08-02-2022 08:08;POINT(208196.223409853 522364.709578884)
01178692_80592;01178692_49258;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208348.50526967 522221.298457375)
01178692_80593;01178692_49258;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208323.49473033 522200.701542625)
01178692_80594;01178692_49259;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208286.156035519 522297.785377971)
01178692_80595;01178692_49259;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208263.372582393 522279.843408634)
01178692_80596;01178692_49260;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208506 522084.019999807)
01178692_80597;01178692_49260;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208506 522055.300000191)
01178692_80598;01178692_49261;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208401.884489005 522149.33322902)
01178692_80599;01178692_49261;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208380.043453033 522131.305707265)
01178692_80600;01178692_49262;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208455.926990941 522093.878318234)
01178692_80601;01178692_49262;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208441.356471211 522069.594118684)
01178692_80602;01178692_49263;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208346.926839274 523030.146321452)
01178692_80603;01178692_49263;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208359.93181073 523004.136378539)
01178692_80604;01178692_49264;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208437.87362486 523076.119568213)
01178692_80605;01178692_49264;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208450.992548831 523050.166914269)
01178692_80606;01178692_49265;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208237.999060569 522977.398158452)
01178692_80607;01178692_49265;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208251.97907483 522948.646808368)
01178692_80608;01178692_49266;Meppel;Randweg, Meppel                                                                 ;4;1.25;Alle;0;;;08-02-2022 08:08;POINT(208088.574093519 522552.567245069)
01178692_80609;01178692_49266;Meppel;Randweg, Meppel                                                                 ;4;1.25;Alle;0;;;08-02-2022 08:08;POINT(208063.346323688 522533.372202806)
01178692_80610;01178692_49267;Meppel;Randweg, Meppel                                                                 ;3;1;Alle;0;;;08-02-2022 08:08;POINT(208150.303597996 522467.330568593)
01178692_80611;01178692_49267;Meppel;Randweg, Meppel                                                                 ;3;1;Alle;0;;;08-02-2022 08:08;POINT(208128.335549596 522449.569167758)
01178692_80612;01178692_49268;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208538.176549058 523125.756778317)
01178692_80613;01178692_49268;Meppel;Industrieweg, Meppel                                                            ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208550.746680546 523100.379343048)
01178692_80941;01178692_49473;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208940.581275405 522187.915181803)
01178692_80942;01178692_49473;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208947.940745453 522160.112739399)
01178692_80943;01178692_49474;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208562.419426375 522097.001392824)
01178692_80944;01178692_49474;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208568.722420343 522070.130734327)
01178692_80945;01178692_49475;Meppel;Randweg, Meppel                                                                 ;4;1;Alle;0;;;08-02-2022 08:08;POINT(208723.965771198 522135.743760967)
