identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksBinnen50m;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsBinnen50m;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
51048329_46122;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202008 522181,202068 522104)
51048329_46123;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202068 522104,202129 522028)
51048329_46124;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202129 522028,202189 521951)
51048329_46125;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202189 521951,202250 521874)
51048329_46126;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202250 521874,202310 521797)
51048329_46127;Overijssel;P;Blauwehandseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;4311;;392;132;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202310 521797,202371 521721)
51048329_46155;Overijssel;P;Beulakerweg;N334;SRM2;92;1;0;sz;;;;;;;80;;3711;;264;79;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(201591 528894,201597 528938,201604 528995)
51048329_46182;Overijssel;P;Beulakerweg;N334;SRM2;92;1;0;sz;;;;;;;80;;3711;;264;79;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(201968 530929,201985 531001)
51048329_46183;Overijssel;P;Beulakerweg;N334;SRM2;92;1;0;sz;;;;;;;80;;3711;;264;79;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(201985 531001,202005 531080)
51048329_46443;Overijssel;P;Beulakerweg;N334;SRM2;92;1;0;sz;;;;;;;80;;3711;;264;79;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202088 531414,202108 531496)
51048329_46466;Overijssel;P;Ruxveenseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;7780;;623;302;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202751 533207,202797 533115)
51048329_46709;Overijssel;P;Zwartsluizerweg;N334;SRM2;92;1;0;sz;;;;;;;80;;8473;;679;329;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(202663 535572,202716 535685)
51048329_46956;Overijssel;P;Ruxveenseweg;N334;SRM2;92;1;0;sz;;;;;;;80;;7854;;568;272;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(203017 532654,203041 532605,203073 532544)
51048329_47732;Overijssel;P;Eesveenseweg;N855;SRM2;92;1;0;sz;;;;;;;80;;6302;;380;66;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(204871 535178,204899 535272)
51048329_47738;Overijssel;P;Eesveenseweg;N855;SRM2;92;1;0;sz;;;;;;;80;;6302;;380;66;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(205092 535722,205137 535809)
51048329_47891;Overijssel;P;IJsseldijk;N855;SRM2;92;1;0;sz;;;;;;;80;;5960;;398;119;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(205530 536538,205582 536632)
51048329_47892;Overijssel;P;IJsseldijk;N855;SRM2;92;1;0;sz;;;;;;;80;;5960;;398;119;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(205358 536221,205429 536349)
51048329_48118;Overijssel;P;Zomerdijk;N375;SRM2;92;1;0;sz;;;;;;;80;;4517;;493;305;0;0;0;0;0;;08-02-2022 08:08;LINESTRING(206093 521855,206170 521917)
