segment_id;nwb_weg_id;nwb_versie;begin_pos;eind_pos;overheidid;overheid;straatnaam;straatnr;wegbeheer;hoogte;x;y;wegtype;snelheid;tun_factor;boom_fact;maxsnelh_p;maxs_p_dyn;maxsnelh_v;a_rand_l;a_gevel_l;bebdicht_l;a_toepas_l;a_scherm_l;s_hoogte_l;a_rand_r;a_gevel_r;bebdicht_r;a_toepas_r;a_scherm_r;s_hoogte_r;stagf_lv;int_lv;int_lv_dyn;stagf_mv;int_mv;stagf_zv;int_zv;stagf_bv;int_bv;opmerking;gewijzigd;geomet_wkt;actie
16843;305328034;801;0;0.199995;307;Amersfoort;Radiumweg;;G;0;152995.00;464113.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8830;0;0.000000;362;0.000000;102;0.000000;0;;27-05-2020 11:01:18;LINESTRING(152988 464068,153002 464157);u
16844;305328034;801;0.199995;0.399999;307;Amersfoort;Radiumweg;;G;0;153009.00;464202.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8830;0;0.000000;362;0.000000;102;0.000000;0;;27-05-2020 11:01:18;LINESTRING(153002 464157,153012 464223,153016 464246);u
16845;305328034;801;0.399999;0.600577;307;Amersfoort;Radiumweg;;G;0;153026.00;464290.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;8830;0;0.000000;362;0.000000;102;0.000000;0;;27-05-2020 11:01:18;LINESTRING(153016 464246,153019 464263,153027 464292,153040 464333);u
16846;305328034;801;0.600577;0.800895;307;Amersfoort;Radiumweg;;G;0;153053.00;464376.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.150000;8830;0;0.150000;362;0.150000;102;0.000000;0;;27-05-2020 11:01:18;LINESTRING(153040 464333,153044 464347,153058 464390,153070 464418);u
16847;305328034;801;0.800895;1;307;Amersfoort;Radiumweg;;G;0;153087.00;464459.00;0;c;1;1;50;;50;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.150000;8830;0;0.150000;362;0.150000;102;0.000000;0;;27-05-2020 11:01:18;LINESTRING(153070 464418,153104 464501);u
18716;316330009;801;0;0.501487;307;Amersfoort;Nijkerkerstraat;;G;0;158407.00;465053.00;0;b;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;840;0;0.000000;42;0.000000;27;0.000000;0;;27-05-2020 11:01:18;LINESTRING(158402 465092,158410 465032,158410 465013);u
18717;316330009;801;0.501487;1;307;Amersfoort;Nijkerkerstraat;;G;0;158421.00;464977.00;0;b;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;840;0;0.000000;42;0.000000;27;0.000000;0;;27-05-2020 11:01:18;LINESTRING(158410 465013,158410 464996,158410 464992,158418 464982,158425 464972,158429 464967,158435 464959,158444 464945);u
18718;316330010;801;0;1;307;Amersfoort;Nijkerkerstraat;;G;0;158394.00;465146.00;0;b;1;1;80;;80;0.10;;;;0.00;0.00;0.10;;;;0.00;0.00;0.000000;840;0;0.000000;42;0.000000;27;0.000000;0;;27-05-2020 11:01:18;LINESTRING(158392 465189,158383 465189,158388 465177,158390 465170,158393 465160,158393 465155,158402 465092);u
22026;327326002;801;0;0.142476;203;Barneveld;Kallenbroekerweg;;G;0;163869.00;463218.00;92;c;1;1;80;;80;4.20;;;;0.00;0.00;4.20;;;;0.00;0.00;0.000000;1026;;0.000000;5;0.000000;3;0.000000;0;;;LINESTRING(163830 463251,163908 463184);u
22027;327326002;801;0.142476;0.286134;203;Barneveld;Kallenbroekerweg;;G;0;163948.00;463151.00;92;c;1;1;80;;80;4.20;;;;0.00;0.00;4.20;;;;0.00;0.00;0.000000;1026;;0.000000;5;0.000000;3;0.000000;0;;;LINESTRING(163908 463184,163954 463145,163989 463121,163990 463121);u
