GUID;Naam;Stereotype;Definitie;Toelichting
{D54950EF-7059-4aab-8731-F62C416629CC};Correctiegebied;Objecttype;Correctiefactor voor concentraties in een bepaald gebied.;De concentraties in een gebied kunnen worden gecorrigeerd door middel van een absolute correctiefactor op een specifieke locatie of voor een gebied.
{C01A3A2D-4593-44f9-AA98-F86152989019};EmissiebronVeehouderij;Objecttype;Een plaats in een stal waar stoffen in de buitenlucht komen.;De emissiebron heeft specifieke kenmerken (bijv. hoogte) die de mate van verspreiding van de emissie bepalen.
{4AA03615-0577-48ea-934F-99E08B9C43DA};EmissieReductie;Objecttype;Klasse voor een specificatie voor emissie reductie.;Het kan voorkomen dat emissie gereduceerd wordt met een bepaalde factor. In deze klasse kan vastgelegd worden wat deze reductie is, per stof.
{C2505E11-1392-47cb-83F6-8691F97C0D08};Emissiespecificatie;Objecttype;Een verzameling karakteristieken die relevant zijn om de hoeveelheid emissie van een emissiebron te bepalen.;Een emissiespecificatie geeft informatie over het huisvestingssysteem de combinatie tussen emissiefactoren en maatregelen die de emissie bepalen.
{12C9A09E-3625-4621-9AE8-8C57492C6052};MaatregelgebiedSRM1;Objecttype;Een maatregel en bijbehorend gebied die effect heeft op &#233&#233n of meer voertuigtypen en snelheidstypen. ;Een maatregelgebied geldt alleen voor SRM1. Een maatregel reduceert emissies.
{B9608FC3-67D3-4657-B609-AD54DF861879};MaatregelSRM1;Objecttype;Specificatie van de combinatie van voertuigtype en snelheidstype waarvoor een maatregel geldt.;Een maatregel reduceert emissies.
{B5F935FC-AE79-4b20-BEC9-0DD7854932EA};NEN3610ID;Gegevensgroeptype;;Unieke identificatie van het object binnen het domein van NEN 3610.
{6E2420CA-5B65-496a-A584-4587A106F26D};Overdrachtslijn;Objecttype;De lijn tussen een SRM1 weg en een receptor.;Dit is een denkbeeldige lijn bedoeld om volgens SRM1 door te rekenen.
{59E33D7F-38D7-4156-9819-254AE3B93907};RavFactor;Objecttype;Een standaard emissiefactor voor veehouderijen.;De RAV factor wordt gebruikt om de emissie te bepalen. RAV factoren worden jaarlijks vastgesteld.
{D60C5A77-C8F6-49f2-9B87-4480A6287827};RavMaatregel;Objecttype;Een standaard maatregel om emissie te reduceren.;De RAV maatregel geeft aan welke emissiereductie een maatregel tot gevolg heeft.
{D98B68E5-2D92-476f-9607-6B7AB88A4B4F};ReceptorVeehouderij;Objecttype;Locatie waarop de concentratie wordt berekend als gevolg van veehouderijemissies.;De emissie van een veehouderij verspreidt zich over de omgeving en genereert daar een concentratiebijdrage. Op de receptor wordt de totale concentratie berekend als gevolg van de achtergrondconcentratie en de emissies afkomstig van de veehouderij.
{8F7104C7-CC5D-4d12-936C-A154D0CAF410};ReceptorWegverkeer;Objecttype;Locatie waarop de concentratie wordt berekend als gevolg van verkeersemissies.;De emissie van de weg verspreidt zich over de omgeving en genereert daar een concentratiebijdrage. Op de receptor wordt de totale concentratie berekend als gevolg van de achtergrondconcentratie en de verkeersemissies.
{F1E63121-DEF3-4ef1-A41D-8F6034E54B52};Scherm;Gegevensgroeptype;Een scheiding aan de kant van de weg die invloed heeft op luchtkwaliteit.;Een wal of scherm.
{B355DAC0-9E88-460a-9B36-CE948DCE283F};Stal;Objecttype;Een gebouw waarbinnen zich vee bevindt.;
{25986C06-47BE-4060-834C-C2C75773F8C4};Veehouderij;Objecttype;Een bedrijf dat zich bezig houdt met het houden van vee.;
{7449AEDA-4B0A-4012-8F41-2819A569B85C};VerkeersgegevensWeg;Gegevensgroeptype;Een specificatie van het karakteristieken van het verkeer dat over een wegdeel gaat.;Het betreft karakteristieken zoals verkeersintensiteiten, stagnaties per voertuigtype en maximumsnelheid.
{6BDD1FBC-2043-42b6-B5D0-A9410793BBF8};Wegdeel;Objecttype;Een deel van een weg met gelijke luchtkwaliteit relevante kenmerken.;
{3EF5A06B-4904-4ab8-943F-D00717EE9B43};WegdeelSRM1;Objecttype;Een wegdeel waarvoor de SRM1 rekenmethode wordt toegepast. ;Onder SRM1 vallen wegen die niet onder SRM2 vallen: binnenstedelijke wegen en niet provinciale buitenwegen. 
{1B649B3D-062F-44ab-8A35-5EAE2EA5C9B3};WegdeelSRM2;Objecttype;Een wegdeel waarvoor de SRM2 rekenmethode wordt toegepast.;Onder SRM2 vallen wegen die niet onder SRM1 vallen: buitenstedelijke wegen en snelwegen.
