identificatie;naamOverheid;naam;stof;voertuigtype;wegsoort;schalingsfactor;tijdstipRegistratie;geometrie
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;l;c;0.9568;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;l;d;0.9623;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;l;e;0.9598;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;m;c;0.9774;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;m;d;0.9829;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;m;e;0.9691;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;z;c;1.0000;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;z;d;1.0000;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;NO2;z;e;1.0000;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
34366966_769;Gemeente Amsterdam;WPNL EURO6 of Elektrisch;PM10;l;c;0.9984;27-9-2022 09:54;POLYGON((125606.396499999 486969.079100002,125631.522100002 486839.35,125631.522100002 486808.658300001,125619.8805 486779.024900001,125593.4221 486743.041499998,125515.1052 486714.466400001,125398.688299999 486712.3497,125289.6798 486644.616300002,125179.6129 486630.857900001,125067.429299999 486630.857900001,125066.371 486583.232799999,125131.987799998 486493.274300002,125209.246300001 486492.216,125343.654899999 486501.741,125687.613899998 486546.191100001,125813.555799998 486561.007800002,125870.706 486580.057799999,125935.264400002 486617.0995,125982.8895 486659.433,126024.1646 486725.049800001,126044.273 486815.008299999,126051.5658 486894.375500001,126046.389600001 486980.108600002,126047.448 487103.933899999,126044.273 487192.834,126094.014699999 487181.192299999,126081.3147 487064.775400002,126087.664700001 486954.7086,126081.3147 486812.891600002,126053.798 486690.124699999,126031.572900001 486657.316300001,125962.781100001 486585.3495,125875.9976 486540.8994,125831.547499999 486532.432700001,125720.4223 486514.441,125550.030299999 486494.332600001,125407.155 486480.574299999,125311.904800002 486468.932599999,125214.538 486465.757599998,125108.704399999 486454.115899999,125068.4877 486504.916,125053.671 486544.0744,125026.154300001 486559.9494,124939.3708 486561.007800002,124935.137400001 486628.7412,124505.453200001 486624.5079,124505.453200001 486709.174699999,124933.0207 486708.1164,124939.3708 486872.158399999,124999.695900001 486868.983399998,124998.637499999 486953.650199998,125460.381499998 486944.304,125419.855099998 487108.167199999,125533.6261 487279.088399999,125563.927 487269.054200001,125606.396499999 486969.079100002))
