identificatie;wegdeelIdentificatie;naamOverheid;naam;bebouwingstype;bomenfactor;toetspuntSoort;grondslag;opmerking;identificatiePandBAG;tijdstipRegistratie;geometrie
34366966_1095598;34366966_1143831;Gemeente Amsterdam;L ,;4;1.25;Alle;0;;;27-9-2022 09:39;POINT(115605.021201547 483901.611605766)
34366966_1095601;34366966_1355028;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:39;POINT(117446.730258479 485008.549812926)
34366966_1095601;34366966_1279655;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:39;POINT(117446.730258479 485008.549812926)
37161516_1095602;37161516_1145019;Hoogheemraadschap Hollands Noorderkwartier;L ,;4;1.0;Alle;0;;;27-9-2022 09:39;POINT(128766.754888095 488375.173650558)
34366966_1095603;34366966_1144122;Gemeente Amsterdam;R ,;3;1.5;Alle;0;;;27-9-2022 09:39;POINT(118904.749908991 482190.944239429)
34366966_1095606;34366966_776726;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:39;POINT(118647.998767517 486206.182415778)
34366966_1095606;34366966_99040;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:39;POINT(118647.998767517 486206.182415778)
34366966_1095607;34366966_97504;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:39;POINT(117435.624537177 486403.895828802)
34366966_1095607;34366966_1354904;Gemeente Amsterdam;L ,;2;1.25;Alle;0;;;27-9-2022 09:39;POINT(117435.624537177 486403.895828802)
34366966_1095608;34366966_99977;Gemeente Amsterdam;L ,;3;1.25;Alle;0;;;27-9-2022 09:39;POINT(119817.307692308 487232.538461538)
34366966_1095610;34366966_1279809;Gemeente Amsterdam;L Herengracht,Amsterdam;3;1.0;Alle;0;;;27-9-2022 09:39;POINT(121545.814952645 486469.206184439)
34366966_158456;34366966_97063;Gemeente Amsterdam;Pieter Calandlaan,Amsterdam;1;1.25;Alle;0;;;27-9-2022 09:37;POINT(116675 485529)
34366966_158457;34366966_97063;Gemeente Amsterdam;Pieter Calandlaan,Amsterdam;1;1.25;Alle;0;;;27-9-2022 09:37;POINT(116675 485499)
34366966_160005;34366966_1355034;Gemeente Amsterdam;Heemstedestraat,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:37;POINT(117930 484969)
34366966_160005;34366966_1144020;Gemeente Amsterdam;Heemstedestraat,Amsterdam;3;1.25;Alle;0;;;27-9-2022 09:37;POINT(117930 484969)
34366966_163195;34366966_615594;Gemeente Amsterdam;Buitenveldertselaan,Amsterdam;2;1.5;Alle;0;;;27-9-2022 09:37;POINT(119692 482867)
34366966_163195;34366966_99896;Gemeente Amsterdam;Buitenveldertselaan,Amsterdam;2;1.5;Alle;0;;;27-9-2022 09:37;POINT(119692 482867)
34366966_163200;34366966_99900;Gemeente Amsterdam;De Boelelaan,Amsterdam;4;1.25;Alle;0;;;27-9-2022 09:37;POINT(119624 483162.5)
34366966_163238;34366966_99925;Gemeente Amsterdam;Parnassusweg,Amsterdam;2;1.25;Alle;0;;;27-9-2022 09:37;POINT(119627.798348753 484195.699587188)
34366966_163239;34366966_99925;Gemeente Amsterdam;Parnassusweg,Amsterdam;2;1.25;Alle;0;;;27-9-2022 09:37;POINT(119582.201651247 484184.300412812)
34362354_170772;;provincie Noord-Holland;Nieuwe Leeuwarderweg,Amsterdam;;;Geen;1;wt;;27-9-2022 09:37;POINT(124512.38962575 491100.693865482)
34362354_170775;;provincie Noord-Holland;Nieuwe Leeuwarderweg,Amsterdam;;;Geen;1;wt;;27-9-2022 09:37;POINT(124464.925779587 491131.730590144)
34362354_171443;;provincie Noord-Holland;Nieuwe Leeuwarderweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(124670.714082878 491357.892240047)
34362354_171444;;provincie Noord-Holland;Nieuwe Leeuwarderweg,Amsterdam;;;Alle;0;wt;;27-9-2022 09:37;POINT(124715.586484953 491437.664865741)
