receptorIdentificatie;rekentoolVersie;rekenjaar;naamOverheid;naam;toetspuntSoort;grondslag;opmerking;no2Concentratie;noxSRM1;noxSRM2;no2SRM1DirecteUitstoot;no2SRM2DirecteUitstoot;no2SRMConversiebijdrage;no2AchtergrondConcentratie;no2GCN;no2HWNdubtelcorrectie;no2GCNenEigenCorrectie;o3AchtergrondConcentratie;o3GCN;o3HWNdubtelcorrectie;o3GCNenEigenCorrectie;pm10Concentratie;pm10Overschrijdingsdagen;pm10SRM1;pm10SRM2;pm10AchtergrondConcentratie;pm10GCN;pm10HWNdubtelcorrectie;pm10GCNenEigenCorrectie;pm25Concentratie;pm25SRM1;pm25SRM2;pm25AchtergrondConcentratie;pm25GCN;pm25HWNdubtelcorrectie;pm25GCNenEigenCorrectie;ecConcentratie;ecSRM1;ecSRM2;ecAchtergrondConcentratie;ecGCN;ecHWNdubtelcorrectie;ecGCNenEigenCorrectie;geometrie
27364178_1057779;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;11.8945;0.0000;3.8136;0.0000;0.5644;1.3910;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.0327;6.0000;0.0000;0.3567;14.6760;-999;-0.2240;0.0000;7.2956;0.0000;0.1086;7.1870;-999;-0.0560;0.0000;0.3468;0.0000;0.0178;0.3290;-999;-0.0320;0.0000;POINT(113891.386034955 489762.69910398)
27364178_1057791;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.4574;0.0000;4.9264;0.0000;0.7433;1.7751;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.1446;6.0000;0.0000;0.4686;14.6760;-999;-0.2240;0.0000;7.3297;0.0000;0.1427;7.1870;-999;-0.0560;0.0000;0.3524;0.0000;0.0234;0.3290;-999;-0.0320;0.0000;POINT(113981.913238112 489712.890240356)
27364178_1057935;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.6141;0.0000;3.3971;0.0000;0.4901;1.4660;10.6580;-999;-1.3820;0.0000;50.4210;-999;-999;-999;14.7986;6.0000;0.0000;0.3116;14.4870;-999;-0.1730;0.0000;7.0349;0.0000;0.0949;6.9400;-999;-0.0440;0.0000;0.3496;0.0000;0.0156;0.3340;-999;-0.0250;0.0000;POINT(114915.597910163 489600.649199166)
27364178_1057956;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.2311;0.0000;3.1644;0.0000;0.4408;1.1323;10.6580;-999;-1.3820;0.0000;50.4210;-999;-999;-999;14.7681;6.0000;0.0000;0.2811;14.4870;-999;-0.1730;0.0000;7.0254;0.0000;0.0854;6.9400;-999;-0.0440;0.0000;0.3477;0.0000;0.0137;0.3340;-999;-0.0250;0.0000;POINT(114898.822670527 489768.221149929)
27364178_1057982;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;14.0601;1.8712;3.9023;0.1641;0.6024;2.0456;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.2923;6.0000;0.1842;0.3820;14.7260;-999;-0.2040;0.0000;7.2098;0.0475;0.1164;7.0460;-999;-0.0530;0.0000;0.3754;0.0081;0.0194;0.3480;-999;-0.0300;0.0000;POINT(115946.464209058 489476.109901261)
27364178_1058048;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.3757;0.0000;2.9883;0.0000;0.4055;1.3122;10.6580;-999;-1.3820;0.0000;50.4210;-999;-999;-999;14.7473;6.0000;0.0000;0.2603;14.4870;-999;-0.1730;0.0000;7.0193;0.0000;0.0793;6.9400;-999;-0.0440;0.0000;0.3470;0.0000;0.0130;0.3340;-999;-0.0250;0.0000;POINT(114985.663407088 489513.791088344)
27364178_1058085;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.2588;0.0000;3.3985;0.0000;0.4503;1.5605;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.0159;6.0000;0.0000;0.2899;14.7260;-999;-0.2040;0.0000;7.1343;0.0000;0.0883;7.0460;-999;-0.0530;0.0000;0.3623;0.0000;0.0143;0.3480;-999;-0.0300;0.0000;POINT(115098.450832688 489500.547727727)
27364178_1058134;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.3918;0.0000;5.5868;0.0000;0.8114;2.1164;9.4640;-999;-2.5260;0.0000;51.2970;-999;-999;-999;14.7275;6.0000;0.0000;0.5135;14.2140;-999;-0.3060;0.0000;7.1044;0.0000;0.1564;6.9480;-999;-0.0790;0.0000;0.3699;0.0000;0.0259;0.3440;-999;-0.0450;0.0000;POINT(112795.930608825 488278.000451247)
27364178_1058157;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.4508;0.0000;4.1683;0.0000;0.5595;1.9523;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.0350;6.0000;0.0000;0.3590;14.6760;-999;-0.2240;0.0000;7.2968;0.0000;0.1098;7.1870;-999;-0.0560;0.0000;0.3472;0.0000;0.0182;0.3290;-999;-0.0320;0.0000;POINT(113667.752207474 489509.450896526)
27364178_1058217;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.4792;1.8175;3.6332;0.1601;0.5625;1.8796;12.8770;-999;-1.5830;0.0000;48.6510;-999;-999;-999;16.0077;6.0300;0.1824;0.3613;15.4640;-999;-0.2060;0.0000;7.6458;0.0468;0.1100;7.4890;-999;-0.0530;0.0000;0.3963;0.0080;0.0183;0.3700;-999;-0.0300;0.0000;POINT(117358.032497917 489518.461743551)
27364178_1058253;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;11.5885;0.0000;3.2796;0.0000;0.4751;1.1744;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;14.9770;6.0000;0.0000;0.3010;14.6760;-999;-0.2240;0.0000;7.2786;0.0000;0.0916;7.1870;-999;-0.0560;0.0000;0.3440;0.0000;0.0150;0.3290;-999;-0.0320;0.0000;POINT(113796.052680408 489827.794695597)
27364178_1058323;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;16.7634;0.0000;8.6670;0.0000;1.3794;3.0070;12.3770;-999;-2.9830;0.0000;49.0050;-999;-999;-999;16.2353;6.0100;0.0000;0.8693;15.3660;-999;-0.4040;0.0000;7.6709;0.0000;0.2639;7.4070;-999;-0.1070;0.0000;0.3998;0.0000;0.0438;0.3560;-999;-0.0600;0.0000;POINT(119945.100952101 493421.206965575)
27364178_1058416;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.6357;0.0000;4.0871;0.0000;0.6277;1.7600;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.1234;6.0000;0.0000;0.3974;14.7260;-999;-0.2040;0.0000;7.1671;0.0000;0.1211;7.0460;-999;-0.0530;0.0000;0.3681;0.0000;0.0201;0.3480;-999;-0.0300;0.0000;POINT(115452.815548649 489592.084957649)
27364178_1058418;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;17.3351;0.0000;10.3371;0.0000;1.6341;3.1090;12.5920;-999;-3.9380;0.0000;48.8840;-999;-999;-999;19.1233;6.9300;0.0000;1.0333;18.0900;-999;-0.5100;0.0000;8.5410;0.0000;0.3160;8.2250;-999;-0.1270;0.0000;0.4050;0.0000;0.0530;0.3520;-999;-0.0720;0.0000;POINT(118229.381155015 490359.911924624)
