identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsAfstand;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
51791811_29609;Gemeente Súdwest-Fryslân;G;Stadsrondweg-Oost;;SRM1;b;1.0000;-999;;;-999;-999;;-999;-999;80;-999;0;-999;0;0;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(175006 562061,175025 562044)
51791811_29610;Gemeente Súdwest-Fryslân;G;Stadsrondweg-Oost;;SRM1;b;1.0000;-999;;;-999;-999;;-999;-999;80;-999;3981;-999;292;191;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(175025 562044,175107 561989)
59734817_33727;Gemeente Leeuwarden;G;Harlingerstraatweg;;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;50;-999;19507;-999;1687;355;0;0.0700;0.0700;0.0700;0.0000;;27-9-2022 09:06:34;LINESTRING(180831 579915,180898 579906)
51791811_29608;Gemeente Súdwest-Fryslân;G;Stadsrondweg-Oost;;SRM2;92;1.0000;0;;;-999;-999;;-999;-999;80;-999;3892;-999;290;190;-999;0.0000;0.0000;0.0000;-999;;27-9-2022 09:06:33;LINESTRING(175100 560545,175106 560555)
01178978_24231;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167385 545489,167418 545442,167459 545391)
01178978_24232;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167459 545391,167461 545389,167476 545371,167521 545318,167539 545298)
01178978_24233;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167213 546118,167213 546102,167213 546035,167213 546023)
01178978_24234;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167213 546023,167213 545970,167216 545944,167217 545928)
01178978_24235;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167217 545928,167218 545920,167221 545894,167229 545854,167233 545835)
01178978_24236;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167233 545835,167234 545829,167251 545767,167259 545743)
01178978_24237;Provincie Fryslân;P;SUDERSEWEI;N928;SRM1;d;1.0000;-999;;;-999;-999;;-999;-999;80;-999;1243;-999;150;90;0;0.0000;0.0000;0.0000;0.0000;;27-9-2022 09:06:33;LINESTRING(167259 545743,167268 545717,167284 545675,167287 545666,167292 545654)
