identificatie;naamOverheid;typeOverheid;straatnaam;wegnummer;rekenmethode;wegsoort;tunnelfactor;hoogte;taludSoort;overdrachtLinksSoort;overdrachtLinksAfstand;overdrachtLinksHoogte;overdrachtRechtsSoort;overdrachtRechtsHoogte;maximumsnelheid;maximumsnelheidDynamisch;intensiteitLichtVerkeer;intensiteitLichtVerkeerDynamisch;intensiteitMiddelzwaarVerkeer;intensiteitZwaarVerkeer;intensiteitBusVerkeer;stagnatiefactorLichtVerkeer;stagnatiefactorMiddelzwaarVerkeer;stagnatiefactorZwaarVerkeer;stagnatiefactorBusVerkeer;opmerking;tijdstipRegistratie;geometrie
34366966_6709;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7573;-999;122;50;202;0.16;0.16;0.16;0.16;MT2017_1;27-9-2022 09:13;LINESTRING(116304.9999999999 488677.9999999999,116304.9999999999 488649.9999999999)
34366966_6710;Gemeente Amsterdam;G;Burg de Vlugtlaan;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;7573;-999;122;50;202;0.16;0.16;0.16;0.16;MT2017_2;27-9-2022 09:13;LINESTRING(116288.9999999999 488649,116291 488677.9999999999)
34366966_7175;Gemeente Amsterdam;G;Amstelveenseweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;12800;-999;507;326;510;0.2;0.2;0.2;0.2;MT2017_3;27-9-2022 09:13;LINESTRING(118893 483366,118893 483384.9999999999)
34366966_7572;Gemeente Amsterdam;G;Europaplein;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;6772;-999;258;172;90;0.27;0.27;0.27;0.27;MT2017_5;27-9-2022 09:13;LINESTRING(121274.9999999999 483891.9999999999,121274.9999999999 483894.9999999999,121276 483903.9999999999)
34366966_7573;Gemeente Amsterdam;G;Scheldestraat;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;5330;-999;387;260;178;0.19;0.19;0.19;0.19;MT2017_6;27-9-2022 09:13;LINESTRING(121195.9999999999 484452,121199.9999999999 484496)
34366966_7954;Gemeente Amsterdam;G;Holterbergweg;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;10408;-999;257;144;0;0.15;0.15;0.15;0.15;MT2017_7;27-9-2022 09:13;LINESTRING(124283.9999999999 480545,124289.9999999999 480534.9999999999)
34366966_1143846;Gemeente Amsterdam;G;Basisweg;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8772;-999;522;390;62;0.02;0.02;0.02;0.02;MT2017_1586;27-9-2022 09:14;LINESTRING(115616 489878.9999999999,115617.9999999999 489874.9999999999,115623.9999999999 489867,115627.9999999999 489859,115634.9999999999 489850,115677 489794,115728.9999999999 489735.9999999999,115755 489707,115789 489674.9999999999,115792 489672,115823.9999999999 489642.9999999999,115856 489616.9999999999,115859 489614.9999999999,115924.9999999999 489567.9999999999,115931 489564,115947 489553.9999999999)
34366966_1143847;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.18;0.18;0.18;0.18;MT2017_1587;27-9-2022 09:14;LINESTRING(115620.8699999999 485542.926,115626.551 485523.05)
34366966_1143849;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.18;0.18;0.18;0.18;MT2017_1589;27-9-2022 09:14;LINESTRING(115626.8599999999 485573.997,115635.7159999999 485547.138)
34366966_1143850;Gemeente Amsterdam;G;Meer en Vaart;;SRM1;c;1;-999;;;-999;-999;;-999;50;-999;8116;-999;224;88;154;0.2;0.2;0.2;0.2;MT2017_1590;27-9-2022 09:14;LINESTRING(115635.7159999999 485547.138,115646.0749999999 485514.9969999999)
34366966_1143864;Gemeente Amsterdam;G;Anderlechtlaan;;SRM1;e;1;-999;;;-999;-999;;-999;50;-999;3078;-999;94;32;121;0.06;0.06;0.06;0.06;MT2017_1604;27-9-2022 09:14;LINESTRING(115773.9999999999 484208.9999999999,115772.9999999999 484274)
34362354_91941;provincie Noord-Holland;P;Noordzeekanaalweg;N202;SRM2;92;1;0;;;-999;-999;;-999;80;-999;6671;-999;777;368;-999;0;0;0;-999;;27-9-2022 09:13;LINESTRING(110793.9999999999 493742,110830 493729.9999999999,110847 493724,110865.9999999999 493719,110885.9999999999 493712.9999999999)
